Stage,Accuracy,Macro F1,F1 (Hate),F1 (Non-Hate),ROC-AUC,Speedup,Agreement,Size (MB)
Baseline,0.0,0.0,0.0,0.0,0,,,
KD Student,0.8324192565508836,0.832416207175197,0.8317013463892289,,0,1.868776005454391,0.41072516758074346,253.91016006469727
