Stage,Accuracy,Macro F1,F1 (Hate),F1 (Non-Hate),ROC-AUC,Speedup,Agreement,Size (MB)
Baseline,0.0,0.0,0.0,0.0,0,,,
KD Student,0.8327239488117002,0.8327003251531128,0.8307123034227567,,0,0.23370037896325,0.38513101767215113,69.44531631469727
