Stage,Accuracy,Macro F1,F1 (Hate),F1 (Non-Hate),ROC-AUC,Speedup,Agreement,Size (MB)
Baseline,0.0,0.0,0.0,0.0,0,,,
KD Student,0.8339427178549664,0.8338960703808396,0.8366796523823794,,0,2.0088603938638894,0.17306520414381474,253.91016006469727
