Stage,Accuracy,Macro F1,F1 (Hate),F1 (Non-Hate),ROC-AUC,Speedup,Agreement,Size (MB)
Baseline,0.0,0.0,0.0,0.0,0,,,
KD Student,0.8360755636806825,0.8360243532785545,0.8389221556886227,,0,0.2711448029524844,0.16788543570993297,69.44531631469727
